# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = heavy, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=22000000.0, vE=23200000.0, vesc=54400000.0
# mX (eV) = 850000000.0
# sigma_e (cm^2) = 1.7782794100389227e-32
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,1604066.064
1.3,5907599.446
1.4,0
1.5,0
1.6,2806231.716
1.7,7694018.499
1.8,0
1.9,28848317
2,6770270.246
2.1,22377147.43
2.2,12735810.56
2.3,11540285.49
2.4,32606066.83
2.5,5412138.704
2.6,14918910.44
2.7,27857658.02
2.8,21991368.65
2.9,33664976.14
3,31485917.26
3.1,18405681.65
3.2,43598233.73
3.3,43681836.41
3.4,36176598.42
3.5,8966431.008
3.6,20657146.3
3.7,32254349.28
3.8,39822894.12
3.9,40628518.37
4,37310599.52
4.1,42516976.78
4.2,41328284.75
4.3,50021046.36
4.4,15954057.1
4.5,52793816.25
4.6,30434805.24
4.7,37798173.79
4.8,26756154.15
4.9,37797051.95
5,42012432.03
5.1,39760261.5
5.2,40105312.99
5.3,40752467.4
5.4,49583049.91
5.5,31873172.7
5.6,35755252.41
5.7,39613059.26
5.8,10221343.34
5.9,33463185.61
6,42065313.87
6.1,10389380.27
6.2,30157383.48
6.3,26156844.16
6.4,13774312.68
6.5,46395257.97
6.6,31183999.73
6.7,9335552.7
6.8,28640259.07
6.9,27848651.03
7,13754530.61
7.1,27786469.43
7.2,6877227.707
7.3,28005723.47
7.4,18487677.95
7.5,12148993.89
7.6,14305238.15
7.7,12628845.27
7.8,13195153.21
7.9,23879825.58
8,15656540.57
8.1,7560697.063
8.2,9987190.683
8.3,11550519.85
8.4,7975853.623
8.5,8572585.215
8.6,5846692.216
8.7,8086898.395
8.8,9054202.869
8.9,8379575.439
9,5760417.768
9.1,8032086.7
9.2,9184882.413
9.3,8877348.897
9.4,6736947.106
9.5,5936239.418
9.6,4398246.589
9.7,6623057.733
9.8,6355615.607
9.9,6361955.546
10,5250461.441
10.1,6828865.092
10.2,6776966.954
10.3,6583963.936
10.4,6391936.52
10.5,6706296.95
10.6,9113886.28
10.7,4030023.725
10.8,6214472.84
10.9,5483127.541
11,5211716.728
11.1,5897510.958
11.2,6470160.531
11.3,4626402.697
11.4,5922293.802
11.5,8856608.144
11.6,6834616.716
11.7,8610115.488
11.8,4671890.022
11.9,8418552.923
12,4953076.332
12.1,4410408.449
12.2,3920945.66
12.3,6831427.074
12.4,3769726.058
12.5,3849497.541
12.6,5360853.982
12.7,2382892.358
12.8,3519814.534
12.9,4315326.388
13,2607749.595
13.1,5139308.44
13.2,3865257.649
13.3,3166696.364
13.4,5665055.477
13.5,3406042.532
13.6,3433272.942
13.7,1688360.213
13.8,4648026.16
13.9,2243905.239
14,3146658.737
14.1,5032552.121
14.2,3387855.837
14.3,1899153.588
14.4,2468506.661
14.5,3692002.053
14.6,1585722.756
14.7,2802534.34
14.8,1926517.346
14.9,2451845.611
15,2828487.921
15.1,2270040.297
15.2,1269451.1
15.3,2535240.153
15.4,2272819.122
15.5,2126190.055
15.6,3225692.088
15.7,1238264.235
15.8,2403222.389
15.9,2798251.76
16,1770058.083
16.1,1892263.484
16.2,2166863.369
16.3,2388038.876
16.4,1712689.148
16.5,1569697.844
16.6,2226998.372
16.7,1654248.587
16.8,1757677.556
16.9,1259117.747
17,1512956.999
17.1,1954652.284
17.2,1239342.597
17.3,1299228.963
17.4,1346652.124
17.5,1658038.944
17.6,1444808.46
17.7,1282431.893
17.8,1296288.826
17.9,1380701.564
18,734541.4511
18.1,1553551.433
18.2,811709.9613
18.3,1145164.292
18.4,737081.4529
18.5,890081.4566
18.6,868664.1937
18.7,547666.4386
18.8,566808.1826
18.9,1326315.5
19,537352.6314
19.1,282975.0552
19.2,491887.0519
19.3,455987.67
19.4,819468.3996
19.5,874128.0806
19.6,471211.8987
19.7,310987.5613
19.8,702264.185
19.9,626821.3611
20,449755.8123
20.1,544134.4589
20.2,670317.2823
20.3,652916.997
20.4,372450.619
20.5,385839.2665
20.6,529703.8873
20.7,500420.0106
20.8,707129.2095
20.9,363966.7943
21,649501.6838
21.1,497899.9357
21.2,579278.2201
21.3,533152.902
21.4,408397.2144
21.5,317379.9438
21.6,658798.8149
21.7,513196.9687
21.8,401200.4493
21.9,584063.4417
22,383743.0847
22.1,526348.4529
22.2,678890.3959
22.3,246995.6523
22.4,379098.5095
22.5,451187.3009
22.6,308620.1309
22.7,477225.5952
22.8,515889.9786
22.9,502698.6475
23,449934.7888
23.1,440556.3855
23.2,393307.2011
23.3,239791.0565
23.4,318536.3229
23.5,380056.0572
23.6,312318.2758
23.7,260247.307
23.8,222627.1242
23.9,286473.4425
24,252610.3765
24.1,242718.3459
24.2,221434.6601
24.3,154945.0584
24.4,182742.7967
24.5,212405.1227
24.6,188329.1543
24.7,255762.388
24.8,193327.189
24.9,218258.0572
25,178339.3721
25.1,207822.711
25.2,179188.3899
25.3,88167.53331
25.4,158015.0349
25.5,190451.0876
25.6,152965.4947
25.7,139657.8439
25.8,109085.8573
25.9,119999.0846
26,161075.8509
26.1,147995.1894
26.2,127855.2847
