# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = heavy, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=22000000.0, vE=23200000.0, vesc=54400000.0
# mX (eV) = 500000000.0
# sigma_e (cm^2) = 2.4879023672388497e-46
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,3.808568648e-08
1.3,1.402470666e-07
1.4,0
1.5,0
1.6,6.659636474e-08
1.7,1.825749414e-07
1.8,0
1.9,6.843693815e-07
2,1.605917061e-07
2.1,5.307143901e-07
2.2,3.020023402e-07
2.3,2.736207867e-07
2.4,7.729671918e-07
2.5,1.28279635e-07
2.6,3.535586289e-07
2.7,6.601025701e-07
2.8,5.209703645e-07
2.9,7.974380706e-07
3,7.456548591e-07
3.1,4.358340243e-07
3.2,1.032208172e-06
3.3,1.033979978e-06
3.4,8.561823634e-07
3.5,2.121635906e-07
3.6,4.886992406e-07
3.7,7.629697396e-07
3.8,9.418329611e-07
3.9,9.60693611e-07
4,8.819848559e-07
4.1,1.004731161e-06
4.2,9.765950851e-07
4.3,1.181797452e-06
4.4,3.768389856e-07
4.5,1.246890986e-06
4.6,7.186525765e-07
4.7,8.92193158e-07
4.8,6.314820223e-07
4.9,8.91831032e-07
5,9.910850479e-07
5.1,9.377609194e-07
5.2,9.456670824e-07
5.3,9.608615812e-07
5.4,1.168844634e-06
5.5,7.509898574e-07
5.6,8.423424794e-07
5.7,9.330056607e-07
5.8,2.406868192e-07
5.9,7.878294372e-07
6,9.902240968e-07
6.1,2.444155155e-07
6.2,7.095742408e-07
6.3,6.152483178e-07
6.4,3.238614426e-07
6.5,1.090812811e-06
6.6,7.328275483e-07
6.7,2.193282299e-07
6.8,6.730384448e-07
6.9,6.544545507e-07
7,3.23100794e-07
7.1,6.525513654e-07
7.2,1.615083337e-07
7.3,6.576055444e-07
7.4,4.340807904e-07
7.5,2.850863112e-07
7.6,3.359532911e-07
7.7,2.962850408e-07
7.8,3.102241791e-07
7.9,5.606455417e-07
8,3.671981893e-07
8.1,1.775096262e-07
8.2,2.343808547e-07
8.3,2.712150798e-07
8.4,1.873124338e-07
8.5,2.015420145e-07
8.6,1.373408099e-07
8.7,1.904424112e-07
8.8,2.129068335e-07
8.9,1.970009911e-07
9,1.357858334e-07
9.1,1.89046863e-07
9.2,2.164330803e-07
9.3,2.092164823e-07
9.4,1.584497454e-07
9.5,1.393646765e-07
9.6,1.03687501e-07
9.7,1.554999215e-07
9.8,1.491857645e-07
9.9,1.498806435e-07
10,1.23623002e-07
10.1,1.610513405e-07
10.2,1.597933675e-07
10.3,1.552081772e-07
10.4,1.50860493e-07
10.5,1.581946142e-07
10.6,2.149915797e-07
10.7,9.517794498e-08
10.8,1.46364079e-07
10.9,1.294014382e-07
11,1.229637537e-07
11.1,1.391923512e-07
11.2,1.527302602e-07
11.3,1.09189796e-07
11.4,1.398452927e-07
11.5,2.090822351e-07
11.6,1.613544511e-07
11.7,2.033127687e-07
11.8,1.102964995e-07
11.9,1.987648362e-07
12,1.169093228e-07
12.1,1.040969788e-07
12.2,9.256641868e-08
12.3,1.612448486e-07
12.4,8.89698646e-08
12.5,9.086906208e-08
12.6,1.264998411e-07
12.7,5.621095067e-08
12.8,8.305651347e-08
12.9,1.017952144e-07
13,6.152527831e-08
13.1,1.212896541e-07
13.2,9.113655436e-08
13.3,7.45343657e-08
13.4,1.336131921e-07
13.5,8.031904439e-08
13.6,8.094251552e-08
13.7,3.983543668e-08
13.8,1.096086875e-07
13.9,5.293822824e-08
14,7.417038654e-08
14.1,1.185940956e-07
14.2,7.985162462e-08
14.3,4.474993216e-08
14.4,5.816162002e-08
14.5,8.701574858e-08
14.6,3.736560818e-08
14.7,6.603468959e-08
14.8,4.539684849e-08
14.9,5.775332473e-08
15,6.664866835e-08
15.1,5.348370222e-08
15.2,2.990967188e-08
15.3,5.97319488e-08
15.4,5.353084741e-08
15.5,5.007360025e-08
15.6,7.594530682e-08
15.7,2.916114928e-08
15.8,5.642886753e-08
15.9,6.587474364e-08
16,4.156129089e-08
16.1,4.455561218e-08
16.2,5.100125563e-08
16.3,5.622505315e-08
16.4,4.030433325e-08
16.5,3.695026928e-08
16.6,5.24234145e-08
16.7,3.893855572e-08
16.8,4.136828628e-08
16.9,2.96393532e-08
17,3.560298945e-08
17.1,4.598978683e-08
17.2,2.916451298e-08
17.3,3.057305807e-08
17.4,3.168188946e-08
17.5,3.900210823e-08
17.6,3.399385474e-08
17.7,3.016706932e-08
17.8,3.049515376e-08
17.9,3.247406075e-08
18,1.728273018e-08
18.1,3.640314151e-08
18.2,1.909169409e-08
18.3,2.684878789e-08
18.4,1.733471342e-08
18.5,2.084508664e-08
18.6,2.042738772e-08
18.7,1.287784609e-08
18.8,1.332635291e-08
18.9,3.11913234e-08
19,1.263482741e-08
19.1,6.652796745e-09
19.2,1.156487551e-08
19.3,1.071850711e-08
19.4,1.926311193e-08
19.5,2.054734331e-08
19.6,1.107469407e-08
19.7,7.308952726e-09
19.8,1.650479445e-08
19.9,1.473126658e-08
20,1.056884375e-08
20.1,1.278673716e-08
20.2,1.574973549e-08
20.3,1.534095393e-08
20.4,8.750216301e-09
20.5,9.06386898e-09
20.6,1.23896083e-08
20.7,1.175679421e-08
20.8,1.653869498e-08
20.9,8.54877287e-09
21,1.52331078e-08
21.1,1.169254353e-08
21.2,1.36044431e-08
21.3,1.252000754e-08
21.4,9.590013912e-09
21.5,7.451720073e-09
21.6,1.546776444e-08
21.7,1.204833032e-08
21.8,9.419488417e-09
21.9,1.371148835e-08
22,9.008140308e-09
22.1,1.235405974e-08
22.2,1.593639262e-08
22.3,5.796294661e-09
22.4,8.895906132e-09
22.5,1.058793723e-08
22.6,7.241950269e-09
22.7,1.119682223e-08
22.8,1.21054018e-08
22.9,1.175456668e-08
23,1.055577288e-08
23.1,1.026480563e-08
23.2,9.226503046e-09
23.3,5.587062746e-09
23.4,7.471526803e-09
23.5,8.876290543e-09
23.6,7.324829698e-09
23.7,6.102903422e-09
23.8,5.220199812e-09
23.9,6.71749303e-09
24,5.923424276e-09
24.1,5.690672328e-09
24.2,5.191578117e-09
24.3,3.631833024e-09
24.4,4.283166331e-09
24.5,4.979395308e-09
24.6,4.41385394e-09
24.7,5.994135157e-09
24.8,4.53158728e-09
24.9,5.115314933e-09
25,4.179052214e-09
25.1,4.871177995e-09
25.2,4.172452178e-09
25.3,2.065493358e-09
25.4,3.676582304e-09
25.5,4.46171511e-09
25.6,3.56384812e-09
25.7,3.271424341e-09
25.8,2.543926011e-09
25.9,2.811843775e-09
26,3.744148516e-09
26.1,3.466337075e-09
26.2,2.994457934e-09
26.3,3.552241541e-09
26.4,3.507115093e-09
26.5,1.609483545e-09
26.6,4.165679624e-09
26.7,3.811279923e-09
26.8,3.817129487e-09
26.9,4.515657746e-09
27,1.676853905e-09
27.1,2.70232686e-09
27.2,3.946820381e-09
27.3,2.318171218e-09
27.4,2.547533976e-09
27.5,3.046246412e-09
27.6,2.62997797e-09
27.7,2.23123736e-09
27.8,3.103886048e-09
27.9,2.564172019e-09
28,2.401957429e-09
28.1,1.81482576e-09
28.2,2.632120117e-09
28.3,2.481019305e-09
28.4,2.29103424e-09
28.5,1.451893665e-09
28.6,2.319022615e-09
28.7,3.410410373e-09
28.8,2.128308219e-09
28.9,2.547545218e-09
29,1.424324115e-09
29.1,2.101128936e-09
29.2,1.851797564e-09
29.3,2.159406523e-09
29.4,1.782216089e-09
29.5,1.953421275e-09
29.6,1.966692789e-09
29.7,2.501566661e-09
29.8,1.18352521e-09
29.9,1.56914214e-09
30,1.534255307e-09
30.1,2.006905542e-09
30.2,1.976419092e-09
30.3,9.190335307e-10
30.4,1.051240032e-09
30.5,1.299768624e-09
30.6,1.614900032e-09
30.7,1.417425563e-09
30.8,1.061703092e-09
30.9,8.608462745e-10
31,1.603466184e-09
31.1,1.191546707e-09
31.2,8.599851989e-10
31.3,1.253493859e-09
31.4,8.567899987e-10
31.5,1.260573256e-09
31.6,1.059331883e-09
31.7,6.841978232e-10
31.8,6.880964868e-10
31.9,1.019816733e-09
32,8.221873778e-10
32.1,9.884621911e-10
32.2,1.369410301e-09
32.3,1.070224612e-09
32.4,9.183374999e-10
32.5,8.159301463e-10
32.6,7.356108789e-10
32.7,9.660407037e-10
32.8,6.668415368e-10
32.9,6.635463404e-10
33,7.21141443e-10
33.1,5.755406235e-10
33.2,7.889367401e-10
33.3,1.053487411e-09
33.4,6.296943172e-10
33.5,8.531638666e-10
33.6,9.328944149e-10
33.7,4.465076328e-10
33.8,6.323916353e-10
33.9,3.446010605e-10
34,5.892136826e-10
34.1,7.575742597e-10
34.2,4.443500067e-10
34.3,5.129478879e-10
34.4,7.870408235e-10
34.5,6.304633045e-10
34.6,5.500801621e-10
34.7,5.307999895e-10
34.8,3.318780352e-10
34.9,5.776568668e-10
35,4.186336244e-10
35.1,3.779066315e-10
35.2,2.478788057e-10
35.3,4.796771209e-10
35.4,4.297778801e-10
35.5,6.749759753e-10
35.6,4.655109866e-10
35.7,4.764770499e-10
35.8,5.546149039e-10
35.9,4.233198388e-10
36,3.268871973e-10
36.1,4.526848296e-10
36.2,2.364899398e-10
36.3,4.105817411e-10
36.4,3.459256539e-10
36.5,3.814690711e-10
36.6,3.900254826e-10
36.7,4.28521468e-10
36.8,3.531642507e-10
36.9,4.322324266e-10
37,3.51639905e-10
37.1,2.575625272e-10
37.2,2.672765548e-10
37.3,2.832805923e-10
37.4,4.069214497e-10
37.5,2.653761905e-10
37.6,3.90425393e-10
37.7,2.611039724e-10
37.8,1.841121882e-10
37.9,4.056051823e-10
38,2.592558612e-10
38.1,1.625342615e-10
38.2,2.06957186e-10
38.3,2.63648895e-10
38.4,2.533473239e-10
38.5,2.908943378e-10
38.6,1.99310223e-10
38.7,1.909539115e-10
38.8,2.314074871e-10
38.9,2.109928218e-10
39,8.065096815e-11
39.1,1.951077637e-10
39.2,1.100739241e-10
