# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = heavy, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=22000000.0, vE=23200000.0, vesc=54400000.0
# mX (eV) = 28000000.0
# sigma_e (cm^2) = 2.8729848333536334e-33
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,7221191.617
1.3,26432325.03
1.4,0
1.5,0
1.6,12352783.78
1.7,33757900.38
1.8,0
1.9,124996230.4
2,29176138.36
2.1,95806833.63
2.2,54098699.53
2.3,48754810.86
2.4,136796211.6
2.5,22514736.64
2.6,61664329.46
2.7,114369427.7
2.8,89419296.41
2.9,136009895.6
3,126056848.2
3.1,73241345.46
3.2,171980332.3
3.3,170897371.9
3.4,140517079.4
3.5,34457418.44
3.6,78706960.01
3.7,122113742.5
3.8,149574734.6
3.9,151367402.6
4,136865088.4
4.1,155472109.4
4.2,148990226.5
4.3,179032819.5
4.4,56807210.44
4.5,185270229.5
4.6,105873242
4.7,129696127.3
4.8,90926424.59
4.9,126971282.1
5,139735492.3
5.1,130903706.2
5.2,130432421.3
5.3,131736251.4
5.4,159450013.9
5.5,99894324.84
5.6,111347872.5
5.7,122225167.1
5.8,31201199.87
5.9,101755583.6
6,126210517.5
6.1,30145728.39
6.2,88585409.8
6.3,76114597.29
6.4,39191968.77
6.5,133584664.9
6.6,88181002.06
6.7,26323530.85
6.8,79932252.82
6.9,78279232.15
7,37604408.84
7.1,75837488.25
7.2,19063669.19
7.3,77561882.49
7.4,51461983.83
7.5,32796604.47
7.6,40386836.33
7.7,34521735.6
7.8,40215225.97
7.9,69268944.25
8,44038393.6
8.1,22234680.65
8.2,29345134.26
8.3,35071414.99
8.4,24730871.84
8.5,27469836.09
8.6,17555891.02
8.7,27458892.36
8.8,29735566.62
8.9,27077579.82
9,21122326.69
9.1,27502527.23
9.2,33123379
9.3,32331379.19
9.4,22952474.47
9.5,18797721.66
9.6,15935431.92
9.7,21827696.13
9.8,21408025.82
9.9,23343863.8
10,18858961.23
10.1,25241879.64
10.2,24948325.97
10.3,24365920.23
10.4,23964368.36
10.5,24739523.54
10.6,33725791
10.7,15277728.22
10.8,23772015.56
10.9,20579158.53
11,19581376.05
11.1,22002158.43
11.2,24300829.49
11.3,17280712.31
11.4,22483158.82
11.5,32933824.03
11.6,25603703.33
11.7,32321693.53
11.8,17342932.49
11.9,31242388.1
12,18191055.86
12.1,16100162.35
12.2,14606756.86
12.3,25165614.69
12.4,13818518.49
12.5,14034119.61
12.6,19414542.34
12.7,8472550.255
12.8,12702553.6
12.9,15373061.78
13,9392195.784
13.1,18524577.81
13.2,13563026.73
13.3,11220676.24
13.4,19938625.98
13.5,11952912.16
13.6,11962526.65
13.7,6008945.951
13.8,16265414.3
13.9,7995947.224
14,10853269.6
14.1,17206601.64
14.2,11624728.66
14.3,6494100.305
14.4,8366632.067
14.5,12696299.68
14.6,5379385.933
14.7,9538422.031
14.8,6565235.659
14.9,8204049.26
15,9560566.052
15.1,7606958.708
15.2,4247468.231
15.3,8471109.608
15.4,7533542.213
15.5,7075601.287
15.6,10632587.92
15.7,4063859.656
15.8,7922350.978
15.9,9139948.563
16,5771212.769
16.1,6159837.992
16.2,7011760.07
16.3,7727736.707
16.4,5495339.002
16.5,5048543.71
16.6,7141857.216
16.7,5268923.763
16.8,5604329.539
16.9,3993313.007
17,4747148.924
17.1,6128358.733
17.2,3894029.481
17.3,4023163.433
17.4,4195606.261
17.5,5116181.806
17.6,4471480.566
17.7,3928195.598
17.8,3930732.86
17.9,4215800.627
18,2231439.214
18.1,4727205.844
18.2,2436044.001
18.3,3433821.344
18.4,2221483.748
18.5,2649939.015
18.6,2561198.776
18.7,1635978.197
18.8,1669198.297
18.9,3910619.549
19,1587590.692
19.1,817673.5683
19.2,1419055.867
19.3,1334587.867
19.4,2335258.274
19.5,2520599.262
19.6,1336917.601
19.7,876809.3027
19.8,1997852.893
19.9,1758810.449
20,1261874.434
20.1,1529171.975
20.2,1867758.536
20.3,1817883.153
20.4,1030497.256
20.5,1065010.909
20.6,1463467.132
20.7,1392132.829
20.8,1944369.351
20.9,992687.904
21,1781803.689
21.1,1330920.664
21.2,1560221.649
21.3,1435867.897
21.4,1083932.045
21.5,832832.7242
21.6,1743076.992
21.7,1352980.155
21.8,1060109.768
21.9,1541491.132
22,990683.4314
22.1,1353852.471
22.2,1769144.284
22.3,623187.4804
22.4,959558.7967
22.5,1144543.293
22.6,775596.3617
22.7,1187781.215
22.8,1297126.384
22.9,1253068.284
23,1119230.862
23.1,1080143.476
23.2,972856.6044
23.3,587217.9753
23.4,781124.9571
23.5,915756.7625
23.6,749498.2679
23.7,626269.1034
23.8,528824.997
23.9,685010.3396
24,598911.3729
24.1,571504.6386
24.2,521479.7477
24.3,356737.1961
24.4,421557.1169
24.5,493555.6444
24.6,428658.4049
24.7,581934.3351
24.8,443384.1018
24.9,500787.118
25,401118.9091
25.1,473533.8588
25.2,399499.7327
25.3,193237.8359
25.4,354069.8532
25.5,419753.9978
25.6,333863.9478
25.7,304406.8917
25.8,236335.1095
25.9,266325.1555
26,344266.0917
26.1,319134.5896
26.2,275066.389
26.3,322743.9164
26.4,315773.7294
26.5,144657.271
26.6,371948.2262
26.7,334178.9777
26.8,337886.1629
26.9,398505.4762
27,146242.5416
27.1,231759.0807
27.2,345410.2359
27.3,199655.8378
27.4,220269.5935
27.5,258807.3955
27.6,222091.5078
27.7,188217.3889
27.8,258115.2836
27.9,211307.4067
28,196439.4357
28.1,147061.9703
28.2,212856.7788
28.3,202186.3312
28.4,182595.4659
28.5,115843.0881
28.6,184710.2469
28.7,269541.4351
28.8,166966.8756
28.9,198226.9322
29,109770.9847
29.1,161914.7889
29.2,141287.9169
29.3,163326.1653
29.4,133129.2634
29.5,145891.6048
29.6,147362.7405
29.7,184655.8872
29.8,86926.21461
29.9,113646.7384
30,111055.6808
30.1,144763.447
30.2,140485.0218
30.3,64772.52013
30.4,74124.66716
30.5,90429.98256
30.6,112157.1744
30.7,97601.22433
30.8,72447.28049
30.9,57864.56883
31,107768.7329
31.1,79286.23344
31.2,57437.33932
31.3,82990.46855
31.4,55326.67285
31.5,82077.57736
31.6,69088.45636
31.7,43956.45234
31.8,43842.97224
31.9,64278.67203
