# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = heavy, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=22000000.0, vE=23200000.0, vesc=54400000.0
# mX (eV) = 6500000.0
# sigma_e (cm^2) = 1.539926526059492e-45
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,9.701920091e-06
1.3,3.428856204e-05
1.4,0
1.5,0
1.6,1.473514643e-05
1.7,4.018305691e-05
1.8,0
1.9,0.0001387283641
2,3.158209451e-05
2.1,9.979060444e-05
2.2,5.373817102e-05
2.3,4.701952697e-05
2.4,0.0001280326843
2.5,1.966994415e-05
2.6,5.234306219e-05
2.7,9.210952964e-05
2.8,7.049215741e-05
2.9,9.842552735e-05
3,9.002712411e-05
3.1,5.00023896e-05
3.2,0.0001071077925
3.3,0.0001026208234
3.4,7.797637069e-05
3.5,1.705970966e-05
3.6,3.972608614e-05
3.7,5.80539567e-05
3.8,6.774824038e-05
3.9,6.575230831e-05
4,5.382215941e-05
4.1,6.281912605e-05
4.2,5.321898338e-05
4.3,5.600263521e-05
4.4,1.860622069e-05
4.5,5.279846608e-05
4.6,2.936439709e-05
4.7,3.709016306e-05
4.8,2.354414618e-05
4.9,3.350235464e-05
5,4.073313327e-05
5.1,4.049339003e-05
5.2,4.465591122e-05
5.3,5.658737175e-05
5.4,6.44209219e-05
5.5,5.012414497e-05
5.6,5.855036477e-05
5.7,6.906551236e-05
5.8,1.983976523e-05
5.9,6.476454644e-05
6,9.138609685e-05
6.1,2.671676646e-05
6.2,6.980985551e-05
6.3,7.063226456e-05
6.4,3.613301339e-05
6.5,0.0001318938775
6.6,9.977627787e-05
6.7,3.09695218e-05
6.8,8.989501874e-05
6.9,9.688528712e-05
7,4.459566507e-05
7.1,9.869602729e-05
7.2,2.680621156e-05
7.3,0.0001088512666
7.4,7.596139921e-05
7.5,5.045854584e-05
7.6,6.187295966e-05
7.7,5.638784369e-05
7.8,6.28334254e-05
7.9,0.0001082812752
8,7.297050871e-05
8.1,3.614228781e-05
8.2,4.629681784e-05
8.3,5.54083835e-05
8.4,3.923964717e-05
8.5,4.100761006e-05
8.6,2.656458955e-05
8.7,3.844565747e-05
8.8,4.419579806e-05
8.9,3.836652503e-05
9,2.903089856e-05
9.1,3.681216691e-05
9.2,4.282060482e-05
9.3,4.073218924e-05
9.4,3.12175329e-05
9.5,2.504595077e-05
9.6,1.821311891e-05
9.7,2.890440354e-05
9.8,2.759086678e-05
9.9,2.650427211e-05
10,2.09467632e-05
10.1,2.610029229e-05
10.2,2.641948813e-05
10.3,2.509689253e-05
10.4,2.276160148e-05
10.5,2.298355293e-05
10.6,3.216280241e-05
10.7,1.330488676e-05
10.8,2.15196261e-05
10.9,1.797966511e-05
11,1.671896133e-05
11.1,1.735280336e-05
11.2,1.958394308e-05
11.3,1.294671026e-05
11.4,1.710816336e-05
11.5,2.388634443e-05
11.6,1.818552188e-05
11.7,2.256215066e-05
11.8,1.153485371e-05
11.9,2.038832852e-05
12,1.157520024e-05
12.1,9.913933214e-06
12.2,8.978315798e-06
12.3,1.507181764e-05
12.4,7.939565059e-06
12.5,7.667344806e-06
12.6,1.036230457e-05
12.7,4.113634215e-06
12.8,6.348740281e-06
12.9,7.499994873e-06
13,4.518794196e-06
13.1,8.485962012e-06
13.2,6.192380943e-06
13.3,4.993187665e-06
13.4,8.632251163e-06
13.5,5.002281564e-06
13.6,4.79984228e-06
13.7,2.272763916e-06
13.8,6.106738936e-06
13.9,3.016068683e-06
14,3.85070755e-06
14.1,5.984141779e-06
14.2,3.838810408e-06
14.3,2.205152258e-06
14.4,2.567952524e-06
14.5,3.988036313e-06
14.6,1.503600119e-06
14.7,2.74935716e-06
14.8,1.837517662e-06
14.9,2.194193708e-06
15,2.600520393e-06
15.1,1.857029867e-06
15.2,1.06355672e-06
15.3,1.964499321e-06
15.4,1.727998592e-06
15.5,1.556652767e-06
15.6,2.308087769e-06
15.7,8.056361658e-07
15.8,1.621346991e-06
15.9,1.733576498e-06
16,1.046767884e-06
16.1,1.113213325e-06
16.2,1.211888063e-06
16.3,1.244749058e-06
