# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = heavy, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=22000000.0, vE=23200000.0, vesc=54400000.0
# mX (eV) = 220000000.0
# sigma_e (cm^2) = 1.2115276586285752e-35
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,4192.473052
1.3,15432.09233
1.4,0
1.5,0
1.6,7319.752011
1.7,20061.70594
1.8,0
1.9,75136.25516
2,17624.52456
2.1,58219.01649
2.2,33112.18118
2.3,29989.33782
2.4,84676.35859
2.5,14045.16096
2.6,38692.69613
2.7,72210.31398
2.8,56947.28776
2.9,87140.84139
3,81425.99948
3.1,47575.35427
3.2,112616.9151
3.3,112740.3778
3.4,93308.88697
3.5,23107.73759
3.6,53193.49677
3.7,83015.38987
3.8,102419.4112
3.9,104405.1898
4,95764.22199
4.1,108981.2408
4.2,105913.9362
4.3,128096.9122
4.4,40815.12797
4.5,135010.2835
4.6,77760.1397
4.7,96426.01185
4.8,68223.18842
4.9,96274.21821
5,106927.4238
5.1,101100.4219
5.2,101877.9653
5.3,103486.4592
5.4,125803.8427
5.5,80708.07473
5.6,90485.74657
5.7,100149.9754
5.8,25816.49471
5.9,84455.00096
6,106109.6235
6.1,26139.62952
6.2,75922.42207
6.3,65768.16412
6.4,34576.79203
6.5,116451.6427
6.6,78183.52608
6.7,23373.9396
6.8,71776.91194
6.9,69763.41407
7,34392.28058
7.1,69404.55534
7.2,17177.96165
7.3,69910.82136
7.4,46137.62832
7.5,30245.50975
7.6,35733.97958
7.7,31427.84505
7.8,33123.01887
7.9,59589.1595
8,38929.33748
8.1,18870.32073
8.2,24954.26389
8.3,28845.36927
8.4,19960.45579
8.5,21523.71955
8.6,14620.13649
8.7,20434.12725
8.8,22738.41043
8.9,21030.29852
9,14621.77209
9.1,20266.44699
9.2,23283.85522
9.3,22526.11754
9.4,16937.04888
9.5,14827.95046
9.6,11182.45607
9.7,16534.01962
9.8,15877.12177
9.9,16114.71708
10,13274.66214
10.1,17371.27582
10.2,17207.48819
10.3,16717.69111
10.4,16308.76426
10.5,17069.84725
10.6,23196.91448
10.7,10310.39996
10.8,15825.47027
10.9,13993.56073
11,13275.47708
11.1,15057.28217
11.2,16515.14313
11.3,11802.90249
11.4,15150.25018
11.5,22617.44453
11.6,17457.09058
11.7,22009.63452
11.8,11929.97248
11.9,21504.53584
12,12634.79204
12.1,11249.50075
12.2,10015.16347
12.3,17437.88249
12.4,9618.242873
12.5,9827.097887
12.6,13669.30119
12.7,6051.790574
12.8,8971.399605
12.9,10975.75963
13,6641.700979
13.1,13102.2565
13.2,9822.160302
13.3,8045.339871
13.4,14409.35905
13.5,8659.310989
13.6,8720.32188
13.7,4300.832059
13.8,11819.64009
13.9,5715.008891
14,7987.928163
14.1,12757.86193
14.2,8597.338407
14.3,4812.058668
14.4,6253.300492
14.5,9365.331299
14.6,4008.938626
14.7,7101.838733
14.8,4881.359578
14.9,6205.054077
15,7150.752913
15.1,5750.164449
15.2,3213.036415
15.3,6421.566434
15.4,5726.819862
15.5,5377.686503
15.6,8144.012053
15.7,3131.57601
15.8,6058.940903
15.9,7065.41081
16,4458.803849
16.1,4780.705731
16.2,5466.116881
16.3,6032.412798
16.4,4318.432138
16.5,3962.326373
16.6,5620.650266
16.7,4160.10195
16.8,4433.62488
16.9,3176.488907
17,3814.03971
17.1,4908.261427
17.2,3124.166514
17.3,3267.652771
17.4,3391.045443
17.5,4161.98958
17.6,3639.234643
17.7,3206.63566
17.8,3263.835243
17.9,3471.128286
18,1850.267271
18.1,3894.122967
18.2,2042.111033
18.3,2871.501086
18.4,1853.496976
18.5,2228.808749
18.6,2183.323846
18.7,1376.416335
18.8,1419.382234
18.9,3334.134912
19,1339.937189
19.1,710.4699619
19.2,1228.269271
19.3,1144.240972
19.4,2044.940745
19.5,2193.36668
19.6,1175.529098
19.7,779.7196378
19.8,1756.953728
19.9,1571.195029
20,1122.676412
20.1,1363.63693
20.2,1670.400374
20.3,1635.170033
20.4,925.3984893
20.5,965.4871263
20.6,1320.240416
20.7,1252.652643
20.8,1761.700191
20.9,909.3332246
21,1622.169697
21.1,1237.260185
21.2,1447.794588
21.3,1325.30451
21.4,1020.120394
21.5,785.8765966
21.6,1644.569323
21.7,1275.08966
21.8,1001.567623
21.9,1453.182571
22,957.2816331
22.1,1305.080915
22.2,1693.550712
22.3,609.7727656
22.4,944.2305416
22.5,1119.874799
22.6,768.7053082
22.7,1175.353805
22.8,1282.634671
22.9,1247.213091
23,1113.481241
23.1,1088.830328
23.2,971.1730708
23.3,592.4520274
23.4,789.8770453
23.5,940.5361395
23.6,771.1008124
23.7,646.4220065
23.8,550.0567539
23.9,711.3916595
24,620.51231
24.1,602.4326316
24.2,547.6564965
24.3,384.1495924
24.4,450.3848873
24.5,526.9362868
24.6,465.4054395
24.7,631.8488414
24.8,477.5624259
24.9,537.293291
25,438.8530126
25.1,511.6566233
25.2,440.7127227
25.3,216.5320056
25.4,388.6383073
25.5,469.7882696
25.6,376.3179411
25.7,344.0917761
25.8,268.3896102
25.9,295.544968
26,394.8859459
26.1,365.2778629
26.2,315.8348073
26.3,372.2051915
26.4,369.4860893
26.5,169.5831344
26.6,436.8910175
26.7,398.8060499
26.8,399.9239106
26.9,473.6063265
27,175.0650295
27.1,281.8253545
27.2,413.7659652
27.3,242.7637111
27.4,266.459966
27.5,320.0722799
27.6,275.3807297
27.7,234.4359081
27.8,323.2580303
27.9,269.1036202
28,251.0892583
28.1,190.2101575
28.2,273.8660175
28.3,259.2565773
28.4,239.1899137
28.5,151.1543952
28.6,241.4574276
28.7,356.0692286
28.8,221.9531139
28.9,264.9255084
29,147.7102376
29.1,219.0392788
29.2,193.0344417
29.3,224.3887178
29.4,185.3466449
29.5,203.0018636
29.6,205.3106661
29.7,259.5257108
29.8,123.4220576
29.9,162.8877862
30,158.9191017
30.1,207.7482727
30.2,205.3443826
30.3,95.35947353
30.4,108.6503644
30.5,134.0981378
30.6,166.8170728
30.7,146.3328376
30.8,109.6070129
30.9,89.06309506
31,165.9005068
31.1,123.2770111
31.2,88.8042315
31.3,129.3603029
31.4,88.30106345
31.5,130.0834673
31.6,109.2288376
31.7,70.01799104
31.8,70.74596166
31.9,105.0256608
32,84.64607515
32.1,101.504506
32.2,140.5675317
32.3,109.881347
32.4,94.48809442
32.5,83.63220225
32.6,75.31030443
32.7,99.20408395
32.8,68.51771785
32.9,68.13357763
33,74.08228163
33.1,58.94912154
33.2,80.7399085
33.3,108.05684
33.4,63.81844415
33.5,86.99700497
33.6,94.74104382
33.7,45.62437181
33.8,64.38538427
33.9,35.20427843
34,60.10832463
34.1,77.2423876
34.2,45.48239405
34.3,52.40502795
34.4,80.14311404
34.5,64.21309778
34.6,56.1456011
34.7,54.11480755
34.8,33.74019744
34.9,58.76034899
35,42.45473941
35.1,38.24223308
35.2,25.10340112
35.3,48.37278796
35.4,43.50552361
35.5,68.20909755
35.6,47.36196172
35.7,48.1541913
35.8,56.09409428
35.9,42.5886215
36,33.0683386
36.1,45.84605605
36.2,23.96433681
36.3,41.40466192
36.4,34.94722738
36.5,38.51679786
36.6,39.11623637
36.7,43.23708153
36.8,35.41041172
36.9,43.63518657
37,35.3140127
37.1,26.0114531
37.2,26.73037192
37.3,28.43973064
37.4,40.66642164
37.5,26.67332137
37.6,38.91060388
37.7,26.24493878
37.8,18.4168543
37.9,40.89113619
38,25.84219991
38.1,16.23389812
38.2,20.71581357
38.3,26.16140223
38.4,25.3151801
38.5,28.98494464
38.6,19.99660646
38.7,19.04147569
38.8,23.14110059
38.9,20.95106695
39,8.039395802
39.1,19.37324261
39.2,11.01608166
39.3,21.89314492
39.4,15.83846259
39.5,6.757583537
39.6,18.42216391
39.7,13.24403923
39.8,14.92047744
39.9,9.749562082
40,8.307756199
40.1,13.4144207
40.2,14.73022278
40.3,8.198126517
40.4,9.948864295
40.5,11.54731694
40.6,8.351315379
40.7,14.3039435
40.8,5.738652935
40.9,5.568075116
41,10.07192853
41.1,7.654326638
41.2,10.45344424
41.3,9.492445482
41.4,6.365600635
41.5,9.719157124
41.6,12.56064098
41.7,9.01677874
41.8,8.378998976
41.9,7.12033217
42,10.58387302
42.1,5.811136176
42.2,6.590787846
42.3,4.394624288
42.4,9.356341226
42.5,8.883921978
42.6,4.835438812
42.7,11.30195378
42.8,4.921439619
42.9,5.055090911
43,7.337694883
43.1,3.768107471
43.2,5.038012085
43.3,6.192670802
43.4,7.805412862
43.5,8.39201093
43.6,7.404273925
43.7,8.513662781
43.8,6.387930503
43.9,5.793193065
44,3.698588182
44.1,6.393679182
44.2,3.15760668
44.3,4.014469481
44.4,5.307381883
44.5,3.682914569
44.6,4.201555083
44.7,5.055867359
44.8,4.561166009
44.9,5.939133329
45,3.727264233
45.1,2.409699209
45.2,4.431236805
45.3,4.080293551
45.4,4.179114473
45.5,3.248022777
45.6,3.459588336
45.7,3.759017289
45.8,5.080510763
45.9,4.151454332
46,2.935281967
46.1,2.676652604
46.2,3.261029682
46.3,3.215411604
46.4,3.60391018
46.5,2.404492147
46.6,2.591223316
46.7,4.100384763
46.8,3.196490742
46.9,1.74784547
47,2.873218261
47.1,2.951925076
47.2,1.957665303
47.3,2.06865633
47.4,2.067618874
47.5,1.796721629
47.6,1.916508912
47.7,1.875453211
47.8,1.944392499
47.9,1.590837547
48,2.144838683
48.1,1.425133523
48.2,1.699600315
48.3,1.54096912
48.4,1.447645846
48.5,1.423518821
48.6,1.123334778
48.7,1.297986392
48.8,1.308084082
48.9,1.350542642
49,1.749647194
49.1,0.7120860367
49.2,1.477541185
49.3,0.7449066281
49.4,1.121039034
49.5,1.328632462
49.6,1.301290706
49.7,1.050566789
49.8,1.267672633
49.9,1.509040132
50,1.155142983
50.1,0
50.2,0
50.3,0
50.4,0
50.5,0
50.6,0
50.7,0
50.8,0
50.9,0
51,0
51.1,0
