# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = massless, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=23800000.0, vE=25370000.0, vesc=54400000.0
# mX (eV) = 850000000.0
# sigma_e (cm^2) = 2.942727176209282e-34
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,13662.41349
1.3,64796.8619
1.4,0
1.5,0
1.6,26705.77773
1.7,101270.775
1.8,0
1.9,310553.116
2,58387.35962
2.1,184796.1322
2.2,113971.417
2.3,80845.38848
2.4,249235.098
2.5,40514.83106
2.6,103295.6291
2.7,165653.4368
2.8,185914.0272
2.9,214812.847
3,233352.8502
3.1,127094.654
3.2,220965.2056
3.3,268895.7658
3.4,201599.3603
3.5,44925.17731
3.6,119544.1784
3.7,173916.4626
3.8,202741.1089
3.9,247564.2496
4,174900.6301
4.1,221433.762
4.2,215091.7748
4.3,246797.5866
4.4,69172.89892
4.5,222204.6504
4.6,135023.5547
4.7,154061.7628
4.8,113286.4945
4.9,150503.4451
5,165141.7884
5.1,155192.8707
5.2,159151.8896
5.3,166498.9454
5.4,159798.8442
5.5,119054.4325
5.6,124556.4097
5.7,125685.432
5.8,36440.70811
5.9,101833.6124
6,126888.6702
6.1,33025.88085
6.2,89081.03212
6.3,85784.83101
6.4,40305.04392
6.5,143992.7076
6.6,96786.05551
6.7,31040.27389
6.8,81224.02256
6.9,85795.95398
7,35864.46185
7.1,80636.85745
7.2,18643.65758
7.3,80468.10684
7.4,54231.35007
7.5,33947.90895
7.6,41940.46947
7.7,37867.78356
7.8,42624.54529
7.9,68297.34421
8,43198.24556
8.1,21222.58888
8.2,27567.89567
8.3,32506.86596
8.4,21670.29325
8.5,24588.46575
8.6,14008.69134
8.7,23697.54167
8.8,21900.03306
8.9,21316.9693
9,16366.18003
9.1,21969.70773
9.2,24311.93136
9.3,23342.60064
9.4,14785.35068
9.5,11923.80715
9.6,11039.84257
9.7,13130.99342
9.8,12555.6814
9.9,14647.56543
10,13259.93196
10.1,16161.39241
10.2,13628.71746
10.3,13121.88142
10.4,14020.69143
10.5,15983.42326
10.6,17589.15423
10.7,8177.60142
10.8,12457.13755
10.9,9823.958414
11,9747.677405
11.1,12907.48067
11.2,11285.12346
11.3,10573.37606
11.4,10430.8508
11.5,16005.48805
11.6,11954.88639
11.7,14216.73967
11.8,8318.868295
11.9,14342.41286
12,8397.253568
12.1,7209.200322
12.2,5705.239616
12.3,9973.803716
12.4,6254.403279
12.5,5975.261555
12.6,8648.718153
12.7,4876.517114
12.8,5591.976673
12.9,6779.850413
13,3619.631024
13.1,8133.199592
13.2,5217.930003
13.3,4326.797178
13.4,7550.099888
13.5,4558.808444
13.6,4695.814223
13.7,2527.983464
13.8,6140.577374
13.9,2693.085787
14,4247.8151
14.1,6545.693569
14.2,4376.662387
14.3,2093.661829
14.4,3207.882233
14.5,4051.815911
14.6,2183.241007
14.7,3151.277326
14.8,2166.888039
14.9,2914.752832
15,2844.438383
15.1,2754.891518
15.2,1353.945078
15.3,2737.582276
15.4,2464.489953
15.5,2251.050011
15.6,3309.656875
15.7,1330.937866
15.8,2283.265037
15.9,2700.619066
16,1787.23171
16.1,1743.738596
16.2,2029.821088
16.3,2205.884794
16.4,1587.468378
16.5,1366.683558
16.6,1938.184425
16.7,1590.011108
16.8,1544.4131
16.9,1139.809526
17,1368.228807
17.1,1713.029927
17.2,1072.260176
17.3,1129.531147
17.4,1118.741886
17.5,1349.513302
17.6,1181.335357
17.7,1044.273406
17.8,1065.27029
17.9,1055.419891
18,593.8691206
18.1,1150.041696
18.2,633.8743236
18.3,848.1457729
18.4,520.7118296
18.5,637.2260309
18.6,663.721506
18.7,375.072042
18.8,394.6292815
18.9,914.5852583
19,360.7269049
19.1,195.5740006
19.2,321.3205145
19.3,278.6087583
19.4,525.0721045
19.5,537.6468923
19.6,283.2416266
19.7,188.9003411
19.8,397.1525086
19.9,375.4849036
20,258.6065395
20.1,299.0512635
20.2,370.2862107
20.3,346.7847114
20.4,197.0101154
20.5,198.5420399
20.6,265.9817057
20.7,239.8993599
20.8,347.4971175
20.9,175.9676481
21,293.9109896
21.1,233.2867924
21.2,266.993168
21.3,237.843788
21.4,181.9597328
21.5,141.4314482
21.6,289.0897617
21.7,220.7264491
21.8,167.0521194
21.9,238.8723714
22,153.2370896
22.1,214.5455313
22.2,258.7716479
22.3,102.2767962
22.4,148.7282782
22.5,170.334619
22.6,112.744426
22.7,181.6781122
22.8,181.723796
22.9,178.859176
23,153.764936
23.1,154.696508
23.2,133.3539376
23.3,79.40156492
23.4,103.6523337
23.5,123.9449967
23.6,99.74965365
23.7,83.3935858
23.8,69.11206386
23.9,88.44439279
24,74.17104458
24.1,72.49701042
24.2,63.64067784
24.3,45.51843713
24.4,51.96084313
24.5,58.49236804
24.6,52.75791446
24.7,69.64778718
24.8,49.50939124
24.9,56.17346514
25,44.81794965
25.1,51.30806681
25.2,44.28370972
25.3,21.87704795
25.4,36.92298716
25.5,45.02696871
25.6,35.82262366
25.7,32.87532006
25.8,24.77060675
25.9,25.50058446
26,35.29944634
26.1,31.9763161
26.2,26.4010105
26.3,31.29180008
26.4,30.49064754
26.5,14.08740408
26.6,34.91377087
26.7,33.15043164
26.8,31.02070533
26.9,36.28439268
27,14.0092393
27.1,21.99980659
27.2,30.41515429
27.3,18.19649825
27.4,19.03612964
27.5,24.15309283
