# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = heavy, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=22000000.0, vE=23200000.0, vesc=54400000.0
# mX (eV) = 290000000.0
# sigma_e (cm^2) = 1e-30
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,263134482
1.3,968744274.5
1.4,0
1.5,0
1.6,459716970.7
1.7,1260123471
1.8,0
1.9,4721216595
2,1107625488
2.1,3659366888
2.2,2081823111
2.3,1882156295
2.4,5325574896
2.5,883334899.9
2.6,2432109341
2.7,4538591117
2.8,3584516675
2.9,5475152920
3,5121524463
3.1,2982732013
3.2,7075831767
3.3,7066682498
3.4,5855175683
3.5,1456592177
3.6,3333037104
3.7,5184992383
3.8,6409867546
3.9,6468623980
4,5989852830
4.1,6786706400
4.2,6564779979
4.3,7952433363
4.4,2525466559
4.5,8378495447
4.6,4804305193
4.7,5961532602
4.8,4215197278
4.9,5931870302
5,6576376362
5.1,6198118587
5.2,6216033299
5.3,6247666132
5.4,7679008454
5.5,4900404130
5.6,5478089052
5.7,6074178706
5.8,1544890685
5.9,5096598057
6,6341664360
6.1,1546820544
6.2,4492115162
6.3,3824540919
6.4,2050826750
6.5,6734685448
6.6,4445464172
6.7,1330891765
6.8,4079186902
6.9,3851354961
7,1949800137
7.1,3839971424
7.2,920505085.9
7.3,3694561159
7.4,2403724560
7.5,1568663027
7.6,1784129943
7.7,1565357552
7.8,1454797231
7.9,2781786672
8,1855521237
8.1,848101815.2
8.2,1108838265
8.3,1249594628
8.4,830097799.9
8.5,821233047.1
8.6,604606858.5
8.7,693243150.3
8.8,845381371.2
8.9,756334934.3
9,422755663.1
9.1,628658800.2
9.2,654820899.2
9.3,607785702.1
9.4,544536790.6
9.5,519730669.6
9.6,287964757.9
9.7,566737621
9.8,524325952.3
9.9,401704214.8
10,334629565.6
10.1,384455965.6
10.2,415300362.2
10.3,387723145
10.4,312878627
10.5,321648238
10.6,503198091.3
10.7,171042311.2
10.8,300216971.9
10.9,265797078.7
11,242506930.3
11.1,221711198
11.2,285753007.2
11.3,166761922.7
11.4,231258488.8
11.5,332730151.9
11.6,242543044.3
11.7,311041840.7
11.8,152784254.1
11.9,274030367.6
12,163257378.6
12.1,144126560.3
12.2,121332107.6
12.3,221590386.3
12.4,110028786.2
12.5,99301878.77
12.6,146230476.3
12.7,46219004.64
12.8,84284036.14
12.9,108603107.3
13,62695826.73
13.1,103976495.1
13.2,100217750.2
13.3,67032022.88
13.4,125559364.5
13.5,72799635.54
13.6,74706020.54
13.7,29967716
13.8,84790663.54
13.9,40685360.48
14,59055299.6
14.1,99034989.25
14.2,55512790.7
14.3,41268645.84
14.4,42894042.92
14.5,63448277.6
14.6,23501685.28
14.7,48863814.83
14.8,30597302.49
14.9,37641268.07
15,45380844.55
15.1,31115527.74
15.2,18802606.47
15.3,33181848.52
15.4,32090714.83
15.5,28728537.72
15.6,47900132.45
15.7,14449794.31
15.8,31629062.79
15.9,37652681.74
16,20969269.87
16.1,21641738.97
16.2,27478730.07
16.3,24128054.82
16.4,20127236.93
16.5,16969478.56
16.6,23701343.91
16.7,15380338.66
16.8,18759098.68
16.9,11433288.84
17,14574960.65
17.1,19856753.12
17.2,11134570.42
17.3,10577686.9
17.4,12391472.21
17.5,13830371.14
17.6,11895760.93
17.7,11388990.79
17.8,8954276.809
17.9,10929402.18
18,5766984.357
18.1,12833574.29
18.2,6091331.033
18.3,8019076.89
18.4,6203599.12
18.5,6848160.74
18.6,5707197.528
18.7,4107846.424
18.8,3702011.676
18.9,8936411.891
19,4036853.015
19.1,1574961.098
19.2,2906605.388
19.3,3286488.23
19.4,5000058.995
19.5,5702055.932
19.6,2720194.39
19.7,1945205.456
19.8,4434339.014
19.9,3652030.216
20,2431870.121
20.1,3197470.877
20.2,3779018.413
20.3,3484179.506
20.4,2048157.388
20.5,2009865.641
20.6,2514671.835
20.7,2749688.751
20.8,3602079.524
20.9,1880026.906
21,3285349.015
21.1,2240331.788
21.2,2612908.308
21.3,2498225.154
21.4,1689397.028
21.5,1155949.695
21.6,2737254.363
21.7,2038200.573
21.8,1712109.071
21.9,2509768.397
22,1407301.003
22.1,1910557.825
22.2,2555552.26
22.3,809179.7517
22.4,1180619.957
22.5,1523711.699
22.6,914518.8215
22.7,1541774.96
22.8,1638074.612
22.9,1505841.225
23,1336220.274
23.1,1330225.542
23.2,1110682.818
23.3,599030.0002
23.4,834327.3566
23.5,854485.4297
23.6,710401.8433
23.7,552722.3777
23.8,522391.5056
23.9,629790.3866
24,563636.717
24.1,494302.1959
24.2,420502.822
24.3,250490.8223
24.4,329413.0078
24.5,405750.861
24.6,319773.8878
24.7,373058.3019
24.8,351067.7273
24.9,350755.7057
25,251277.0197
25.1,341383.7739
25.2,255176.9026
25.3,98356.68501
25.4,222453.1245
25.5,224666.3372
25.6,170931.3485
25.7,170308.7504
25.8,120313.9337
25.9,145792.3557
26,153254.1508
26.1,155758.7036
26.2,132123.9536
26.3,150950.6928
26.4,121749.0438
26.5,58769.88295
26.6,156050.3842
26.7,126193.0607
26.8,115576.1174
26.9,157756.8526
27,44504.50745
27.1,72385.54078
27.2,120922.7578
27.3,65959.12834
27.4,69956.09901
27.5,72674.6859
27.6,59701.32887
27.7,54229.50889
27.8,70136.03929
27.9,46748.25513
28,44155.99765
28.1,32185.02962
28.2,46467.56653
28.3,42581.08365
28.4,33548.93049
28.5,19319.17462
28.6,35871.4517
28.7,46066.2116
28.8,26919.89701
28.9,29958.31483
29,15774.76385
29.1,23052.44706
29.2,19647.70395
29.3,19770.50081
29.4,14863.94879
29.5,16826.0635
29.6,17622.68177
29.7,20198.70251
29.8,9161.655475
29.9,10651.69337
30,10717.71535
30.1,13058.90665
30.2,11839.96199
30.3,4763.442931
30.4,6216.68599
30.5,6298.883471
30.6,7737.614727
30.7,6695.467665
30.8,4852.231378
30.9,3243.891003
31,6226.868436
31.1,4604.59522
31.2,3460.84061
31.3,4542.115807
31.4,2329.164952
31.5,3748.536718
31.6,3399.02509
31.7,2002.163917
31.8,1804.54861
31.9,2401.440993
32,1734.87953
32.1,2283.405617
32.2,3111.266978
32.3,1847.213795
32.4,1435.355102
32.5,1550.74609
32.6,1181.460449
32.7,1376.305393
32.8,951.5070911
32.9,743.5600547
33,947.9522136
33.1,707.2092823
33.2,763.3396603
33.3,1126.895911
33.4,525.4945179
33.5,750.8069922
33.6,763.5257697
33.7,306.9113133
33.8,525.4170484
33.9,197.5850515
34,355.4929797
34.1,462.2720169
34.2,240.4809846
34.3,243.8513902
34.4,351.0902422
34.5,265.2065547
34.6,224.5422337
34.7,200.8775985
34.8,108.9558961
34.9,185.9514408
35,122.4519249
35.1,126.8309469
35.2,56.83777739
35.3,117.7748378
35.4,84.53103021
35.5,118.7623526
35.6,86.20471806
35.7,77.43362117
35.8,80.36190671
35.9,60.60547626
36,40.85198558
36.1,55.81027513
36.2,22.26818495
36.3,41.32346815
36.4,28.23966453
36.5,34.3983456
36.6,25.42488594
36.7,25.17454708
36.8,19.5457387
36.9,21.04878504
37,16.67728671
37.1,11.85363474
37.2,10.75999631
37.3,9.156138394
37.4,12.7344365
37.5,7.545349525
37.6,9.451558059
37.7,5.544373811
37.8,3.006840394
37.9,7.058807691
38,4.23473746
38.1,2.442188563
38.2,2.698416248
38.3,3.398642691
38.4,2.499329175
38.5,2.985077986
38.6,1.671927058
38.7,1.063468455
38.8,1.605133524
38.9,1.401790536
39,0.3131215115
39.1,0.8705033078
39.2,0.5021005135
39.3,0.747739173
39.4,0.5113238814
39.5,0.2839730547
39.6,0.4480864426
39.7,0.3631776212
39.8,0.3494978639
39.9,0.1855751068
40,0.1567010256
40.1,0.1339753975
40.2,0.2566928481
40.3,0.1489025057
40.4,0.1135294501
40.5,0.0809861132
40.6,0.04704270723
40.7,0.05840680506
40.8,0.01114016521
40.9,0.03953483261
41,0.06041262549
41.1,0.02115726222
41.2,0.0680569603
41.3,0.01945142174
41.4,0.007313143723
41.5,0.01995412732
41.6,0.02123240615
41.7,0.01505103869
41.8,0.005606243029
41.9,0.005340352344
42,0.01048629161
42.1,0.001949698536
42.2,0.004678007968
42.3,0.001959838833
42.4,0.003434836345
42.5,0.001366652549
42.6,0.00191081851
42.7,0.00246664528
42.8,0.00116231844
42.9,0.0008156997195
43,0.0006593257137
43.1,0.0003496092344
43.2,0.0003466699038
43.3,0.0002210067488
43.4,0.0003924632653
43.5,0.0001876230317
43.6,0.0003194211912
43.7,4.438600222e-05
43.8,1.42834622e-05
43.9,4.166108347e-05
44,3.846880572e-05
44.1,1.071300755e-05
44.2,4.499290749e-07
44.3,3.624154136e-05
44.4,7.864318102e-06
44.5,7.568145452e-06
44.6,2.373011028e-06
44.7,3.058277526e-07
44.8,9.929387975e-08
44.9,5.404953155e-11
45,0
45.1,0
45.2,0
45.3,0
45.4,0
45.5,0
45.6,0
45.7,0
45.8,0
45.9,0
46,0
46.1,0
46.2,0
46.3,0
46.4,0
46.5,0
46.6,0
46.7,0
46.8,0
46.9,0
47,0
47.1,0
47.2,0
47.3,0
47.4,0
47.5,0
47.6,0
47.7,0
47.8,0
47.9,0
48,0
48.1,0
48.2,0
48.3,0
48.4,0
48.5,0
48.6,0
48.7,0
48.8,0
48.9,0
49,0
49.1,0
49.2,0
49.3,0
49.4,0
49.5,0
49.6,0
49.7,0
49.8,0
49.9,0
50,0
50.1,0
50.2,0
50.3,0
50.4,0
50.5,0
50.6,0
50.7,0
50.8,0
50.9,0
51,0
51.1,0
