# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = heavy, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=22000000.0, vE=23200000.0, vesc=54400000.0
# mX (eV) = 36000000.0
# sigma_e (cm^2) = 6.309573444801943e-29
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,1.261274365e+11
1.3,4.623827277e+11
1.4,0
1.5,0
1.6,2.169524395e+11
1.7,5.932807697e+11
1.8,0
1.9,2.203585996e+12
2,5.150238149e+11
2.1,1.693753972e+12
2.2,9.584172518e+11
2.3,8.629106605e+11
2.4,2.430605812e+12
2.5,4.008236108e+11
2.6,1.098181395e+12
2.7,2.039970805e+12
2.8,1.600422529e+12
2.9,2.433467096e+12
3,2.262415433e+12
3.1,1.310517181e+12
3.2,3.092845735e+12
3.3,3.068519556e+12
3.4,2.530397324e+12
3.5,6.256177165e+11
3.6,1.420375782e+12
3.7,2.197374782e+12
3.8,2.699974769e+12
3.9,2.703171751e+12
4,2.48326384e+12
4.1,2.794125093e+12
4.2,2.681037233e+12
4.3,3.232248072e+12
4.4,1.0187627e+12
4.5,3.356185353e+12
4.6,1.908366163e+12
4.7,2.342715757e+12
4.8,1.64821194e+12
4.9,2.296363284e+12
5,2.52285883e+12
5.1,2.356725887e+12
5.2,2.341655604e+12
5.3,2.327077715e+12
5.4,2.856347801e+12
5.5,1.787906902e+12
5.6,1.987170569e+12
5.7,2.183272932e+12
5.8,5.486116367e+11
5.9,1.804529204e+12
6,2.209587495e+12
6.1,5.238849756e+11
6.2,1.536119017e+12
6.3,1.279011435e+12
6.4,6.799129006e+11
6.5,2.213616187e+12
6.6,1.420911993e+12
6.7,4.218134176e+11
6.8,1.290075488e+12
6.9,1.193734436e+12
7,6.02197892e+11
7.1,1.155476836e+12
7.2,2.70922174e+11
7.3,1.07718616e+12
7.4,6.887658705e+11
