# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = massless, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=22000000.0, vE=23200000.0, vesc=54400000.0
# mX (eV) = 850000000.0
# sigma_e (cm^2) = 1.5848931924611239e-31
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,7555236.425
1.3,34794686.56
1.4,0
1.5,0
1.6,13966429.49
1.7,46884538.63
1.8,0
1.9,149606104.7
2,29899589.98
2.1,91801365.96
2.2,53338251.61
2.3,38560097.04
2.4,113259814.4
2.5,18403719.32
2.6,42980574.06
2.7,73524443.89
2.8,75583591.06
2.9,85928028.72
3,95216888.42
3.1,49141914.51
3.2,92542689.07
3.3,107105623.1
3.4,71822631.96
3.5,17448245.01
3.6,42537797.48
3.7,58299873.08
3.8,69183212.96
3.9,72320537.32
4,58936838.44
4.1,66832520.66
4.2,65413237.22
4.3,70113826.79
4.4,20820147.81
4.5,63677399.91
4.6,38085700.07
4.7,46650907.09
4.8,28867625.45
4.9,40777695.39
5,43779562.07
5.1,39196366.35
5.2,38931178.73
5.3,38484320.44
5.4,40953557.55
5.5,28176422.04
5.6,28524811.76
5.7,30161432.5
5.8,7370356.512
5.9,22316634.71
6,28263858.9
6.1,7523820.796
6.2,18093698.22
6.3,16026949.66
6.4,7971678.591
6.5,25156925.03
6.6,17218243.42
6.7,4842809.367
6.8,13693939.98
6.9,12992288.96
7,6124379.576
7.1,11958863.4
7.2,2828487.731
7.3,10792259.74
7.4,6857352.045
7.5,4488118.395
7.6,4727736.438
7.7,4200370.597
7.8,3586812.626
7.9,6557878.319
8,4392107.491
8.1,1898163
8.2,2322522.978
8.3,2516341.577
8.4,1626186.596
8.5,1514134.026
8.6,1076596.811
8.7,1140837.711
8.8,1405222.465
8.9,1188347.412
9,650371.6914
9.1,926953.5097
9.2,918708.7905
9.3,818007.1357
9.4,748455.6466
9.5,661153.2846
9.6,318124.6051
9.7,683039.6346
9.8,606112.8657
9.9,433465.1452
10,348365.0115
10.1,366212.8517
10.2,387141.3997
10.3,348737.6476
10.4,267438.3252
10.5,276893.3847
10.6,401182.0795
10.7,131165.4096
10.8,229763.7374
10.9,191016.8448
11,173316.1751
11.1,157519.8803
11.2,186682.7761
11.3,111472.3156
11.4,143645.7565
11.5,199514.4011
11.6,145493.7873
11.7,177379.6659
11.8,86621.81567
11.9,148196.5929
12,85223.31631
12.1,71706.85562
12.2,61555.78192
12.3,104596.5607
12.4,52192.68562
12.5,46104.02737
12.6,64460.44232
12.7,21735.88607
12.8,36632.45072
12.9,44319.46676
13,25727.48374
13.1,43018.74566
13.2,37267.72958
13.3,25749.90244
13.4,46411.0221
13.5,25992.11997
13.6,25981.11637
13.7,10595.70125
13.8,28666.39901
13.9,13671.15193
14,18772.4006
14.1,30599.9402
14.2,17347.35424
14.3,12037.00804
14.4,12562.64217
14.5,18358.21694
14.6,6668.30522
14.7,13199.51841
14.8,8226.753437
14.9,9864.805289
15,11486.8754
15.1,7891.566913
15.2,4652.977299
15.3,8052.370907
15.4,7566.97014
15.5,6715.80915
15.6,10667.57523
15.7,3223.106675
15.8,6923.671105
15.9,7944.185663
16,4397.872023
16.1,4465.577092
16.2,5499.660452
16.3,4871.879768
16.4,3866.903541
16.5,3209.996261
16.6,4425.574377
16.7,2819.731468
16.8,3319.998435
16.9,2007.641283
17,2476.168936
17.1,3305.31815
17.2,1851.592559
17.3,1722.660095
17.4,1955.74972
17.5,2168.493273
17.6,1815.906252
17.7,1674.820792
17.8,1336.574881
17.9,1574.553038
18,799.4549217
18.1,1753.150239
18.2,820.5894391
18.3,1070.270503
18.4,795.3149728
18.5,860.5704589
18.6,720.9331501
18.7,503.9253331
18.8,449.3639079
18.9,1059.784474
19,469.8618382
19.1,183.5853899
19.2,339.468495
19.3,364.8892773
19.4,552.8172749
19.5,622.6406447
19.6,295.628806
19.7,204.9560182
19.8,462.8516274
19.9,370.9373902
20,245.3139565
20.1,316.656747
20.2,370.0676739
20.3,336.9547897
20.4,196.3509814
20.5,184.2817525
20.6,237.7232122
20.7,247.1427935
20.8,324.8291633
20.9,164.7338395
21,288.7259616
21.1,193.2614123
21.2,224.534565
21.3,210.2831636
21.4,141.9137309
21.5,98.42326262
21.6,222.703904
21.7,165.6555755
21.8,135.6624383
21.9,196.4146149
22,112.1263394
22.1,147.9341615
22.2,196.6327192
22.3,61.62786015
22.4,89.95434514
22.5,112.0994236
22.6,69.31924434
22.7,111.7580579
22.8,118.377688
22.9,108.1932721
23,94.80287088
23.1,91.59161321
23.2,77.09228966
23.3,41.67417255
23.4,56.24721975
23.5,58.18330846
23.6,47.673177
23.7,36.92577538
23.8,33.98199208
23.9,40.62928975
24,35.92316925
24.1,31.45504316
24.2,26.52805662
24.3,15.89779014
24.4,20.1279271
24.5,24.78401555
24.6,19.20324346
24.7,22.58518176
24.8,20.72532869
24.9,20.64531118
25,14.81537312
25.1,19.63604145
25.2,14.48505596
25.3,5.657056873
25.4,12.42462387
25.5,12.56688713
25.6,9.480722289
25.7,9.228301986
25.8,6.582581253
25.9,7.783265147
26,8.25408643
26.1,8.221720011
26.2,6.917486836
26.3,7.820013681
26.4,6.339453709
26.5,3.029661976
26.6,7.93841212
26.7,6.346112228
26.8,5.854195149
26.9,7.802641579
27,2.202498687
27.1,3.570701484
27.2,5.850455192
27.3,3.203357113
27.4,3.340075509
27.5,3.463441884
27.6,2.825349072
27.7,2.549009601
27.8,3.278004111
27.9,2.173749004
28,2.04921058
28.1,1.467593843
28.2,2.103159305
28.3,1.894074005
28.4,1.495044517
28.5,0.8492379105
28.6,1.57524795
28.7,1.986590241
28.8,1.16203424
28.9,1.279359913
29,0.6741494908
29.1,0.9655956709
29.2,0.8181590967
29.3,0.8112055566
29.4,0.6017963854
29.5,0.6975150152
29.6,0.7151834588
29.7,0.8172489178
29.8,0.3682684643
29.9,0.4225742948
30,0.4297351409
30.1,0.5137691212
30.2,0.4567672254
30.3,0.1843960958
30.4,0.2380935122
30.5,0.240932619
30.6,0.3024675466
30.7,0.2550497041
30.8,0.1892157443
30.9,0.1272068928
31,0.2377291747
31.1,0.1713486338
31.2,0.1267833556
31.3,0.1672427738
31.4,0.08504974557
31.5,0.1403063393
31.6,0.1235574005
31.7,0.07415255705
31.8,0.06685416548
31.9,0.09022067826
32,0.06366066522
32.1,0.08464325095
32.2,0.1131857434
32.3,0.06787864037
32.4,0.0534270711
32.5,0.05808928115
32.6,0.042910774
32.7,0.04810585978
32.8,0.03532262553
32.9,0.02664294839
33,0.03560756545
33.1,0.02532390078
33.2,0.02790201195
33.3,0.04098439237
33.4,0.01898761206
33.5,0.02791412764
33.6,0.02872282404
33.7,0.01035657608
33.8,0.01884462843
33.9,0.007292358468
34,0.01234036368
34.1,0.016376918
34.2,0.008956979456
34.3,0.008844134997
34.4,0.01337506857
34.5,0.009575479496
34.6,0.008195371395
34.7,0.007568275707
34.8,0.003731198146
34.9,0.006612585265
35,0.004419492148
35.1,0.004681213109
35.2,0.002127825505
35.3,0.004392889262
35.4,0.003138592683
35.5,0.004699030186
35.6,0.003289936733
35.7,0.002996824977
35.8,0.003102106065
35.9,0.002310677052
36,0.001604357208
36.1,0.002185779637
36.2,0.0008897701004
36.3,0.001706531961
36.4,0.001119076614
36.5,0.001475052677
36.6,0.0009872418363
36.7,0.001036566756
36.8,0.000859353242
36.9,0.0008321992979
37,0.0007280535041
37.1,0.0004653758967
37.2,0.0004554882181
37.3,0.0003969609503
37.4,0.0005307229876
37.5,0.0003093202499
37.6,0.0004206100376
37.7,0.0002464886974
37.8,0.0001238862237
37.9,0.0003053336204
38,0.0001887887652
38.1,0.0001140630026
38.2,0.0001164934144
38.3,0.0001552173188
38.4,0.0001153120749
38.5,0.0001315790021
38.6,7.285597628e-05
38.7,4.946349127e-05
38.8,7.196298597e-05
38.9,5.95598984e-05
39,1.714582534e-05
39.1,4.216490266e-05
39.2,2.290987208e-05
39.3,3.795555317e-05
39.4,2.473285395e-05
39.5,1.19508618e-05
39.6,2.157497929e-05
39.7,1.567135317e-05
39.8,1.587856176e-05
39.9,9.033097439e-06
40,7.238230986e-06
40.1,7.451194841e-06
40.2,1.107445187e-05
40.3,6.494361552e-06
40.4,5.488604496e-06
40.5,5.013603519e-06
40.6,2.906580512e-06
40.7,3.76811939e-06
40.8,9.076014488e-07
40.9,2.133122814e-06
41,3.171727017e-06
41.1,1.291621766e-06
41.2,3.027394773e-06
41.3,1.515939786e-06
41.4,5.81017551e-07
41.5,1.474946894e-06
41.6,1.670597817e-06
41.7,1.126048783e-06
41.8,5.099998762e-07
41.9,3.734346576e-07
42,8.673572089e-07
42.1,1.589301938e-07
42.2,3.655800757e-07
42.3,1.757525164e-07
42.4,3.085153946e-07
42.5,1.409417818e-07
42.6,1.570896174e-07
42.7,2.868333384e-07
42.8,1.469370713e-07
42.9,8.338703582e-08
43,1.003363886e-07
43.1,6.42844221e-08
43.2,5.510084286e-08
43.3,3.778116503e-08
43.4,6.814902048e-08
43.5,4.884313024e-08
43.6,5.326486401e-08
43.7,3.587549395e-08
43.8,1.330854937e-08
43.9,1.724128458e-08
44,1.448765606e-08
44.1,5.347932111e-09
44.2,4.668200455e-09
44.3,1.178066714e-08
44.4,4.925593071e-09
44.5,5.451799693e-09
44.6,2.697099011e-09
44.7,2.384210714e-09
44.8,1.993755034e-09
44.9,2.07514889e-09
45,1.516006701e-09
45.1,4.313822724e-10
45.2,2.654199731e-10
45.3,1.188380357e-09
45.4,1.35319277e-10
45.5,2.026624411e-10
45.6,1.304734465e-10
45.7,5.140479566e-11
45.8,2.17409647e-10
45.9,1.68800899e-11
46,1.153641683e-10
46.1,2.410292174e-11
46.2,4.578348645e-12
46.3,1.072186861e-11
46.4,1.008754724e-14
46.5,0
46.6,0
46.7,0
46.8,0
46.9,0
47,0
47.1,0
47.2,0
47.3,0
47.4,0
47.5,0
47.6,0
47.7,0
47.8,0
47.9,0
48,0
48.1,0
48.2,0
48.3,0
48.4,0
48.5,0
48.6,0
48.7,0
48.8,0
48.9,0
49,0
49.1,0
49.2,0
49.3,0
49.4,0
49.5,0
49.6,0
49.7,0
49.8,0
49.9,0
50,0
50.1,0
50.2,0
50.3,0
50.4,0
50.5,0
50.6,0
50.7,0
50.8,0
50.9,0
51,0
51.1,0
