# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = massless, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=22000000.0, vE=23200000.0, vesc=54400000.0
# mX (eV) = 31000000.0
# sigma_e (cm^2) = 3.1622776601683794e-39
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,3.915773692
1.3,17.97522903
1.4,0
1.5,0
1.6,7.073014009
1.7,23.23097655
1.8,0
1.9,73.62124141
2,14.740572
2.1,44.92325363
2.2,25.54131168
2.3,18.49617761
2.4,52.93682427
2.5,8.600384702
2.6,19.84537298
2.7,34.07396347
2.8,33.42287272
2.9,38.88212147
3,42.08857007
3.1,21.61647492
3.2,40.42040562
3.3,46.42526103
3.4,31.1542388
3.5,7.50504504
3.6,17.78129108
3.7,24.31019418
3.8,28.55470037
3.9,29.61062361
4,23.18319882
4.1,26.08876849
4.2,25.57228737
4.3,27.45775683
4.4,7.958981374
4.5,24.13907843
4.6,14.44119219
4.7,17.12714056
4.8,10.55097841
4.9,14.66504073
5,15.48029878
5.1,13.63486739
5.2,13.45003915
5.3,13.03752785
5.4,13.93523187
5.5,9.222600921
5.6,9.186946942
5.7,9.600241084
5.8,2.272782858
5.9,6.937012508
6,8.581442544
6.1,2.165503319
6.2,5.305574481
6.3,4.538741022
6.4,2.202861163
6.5,6.915020727
6.6,4.489063506
6.7,1.232564704
6.8,3.52450307
6.9,3.245082014
7,1.536227515
7.1,2.818641622
7.2,0.6347710046
7.3,2.3948841
7.4,1.470899846
7.5,0.9300042773
7.6,0.9446587347
7.7,0.7740490603
7.8,0.6562548077
7.9,1.195247378
8,0.7419399271
8.1,0.3129104149
8.2,0.3857789121
8.3,0.3988047589
8.4,0.2485728606
8.5,0.229066166
8.6,0.1641096574
8.7,0.170715293
8.8,0.201152455
8.9,0.1690165476
9,0.085540281
9.1,0.1190682721
9.2,0.1171354542
9.3,0.1036638133
9.4,0.08275693756
9.5,0.07453624746
9.6,0.04101769683
9.7,0.07262852074
9.8,0.06315603187
9.9,0.0478451709
10,0.03665529054
10.1,0.04100911287
10.2,0.04206803336
10.3,0.03731576887
10.4,0.02847216047
10.5,0.02747920873
10.6,0.04090244821
10.7,0.01368808274
10.8,0.02241056001
10.9,0.01852537998
11,0.01584379877
11.1,0.01386522976
11.2,0.01700162423
11.3,0.009324686105
11.4,0.01243192817
11.5,0.01687438267
11.6,0.01165616992
11.7,0.01407359001
11.8,0.006623097544
11.9,0.01132435607
12,0.0062420724
12.1,0.005255375154
12.2,0.00418025029
12.3,0.007257290301
12.4,0.003382910659
12.5,0.002879641442
12.6,0.003970316806
12.7,0.001101298994
12.8,0.002034824597
12.9,0.002522429604
13,0.001344345171
13.1,0.002019998532
13.2,0.001953774593
13.3,0.001170194817
13.4,0.002118110505
13.5,0.001161790229
13.6,0.001126040587
13.7,0.0004064214862
13.8,0.001112005846
13.9,0.000493853613
14,0.0006871148393
14.1,0.001092778736
14.2,0.000544832601
14.3,0.0004055348411
14.4,0.0003755955389
14.5,0.0005341425269
14.6,0.0001842303826
14.7,0.0003720291388
14.8,0.0002147998622
14.9,0.0002433579292
15,0.0002833712518
15.1,0.0001792970478
15.2,0.0001016017927
15.3,0.0001652325667
15.4,0.0001544414995
15.5,0.0001294015374
15.6,0.0002069796411
15.7,5.763188086e-05
15.8,0.0001165126153
15.9,0.0001346477577
16,6.981861017e-05
16.1,6.538449554e-05
16.2,8.194359833e-05
16.3,6.401629239e-05
16.4,5.39266093e-05
16.5,4.108469534e-05
16.6,5.428894122e-05
16.7,3.416512526e-05
16.8,3.881221032e-05
