# Differential Rates computed with CCDarkSens (QEDark entry)
# material = Si, mediator = massless, table = /Users/diegovenegasvargas/Documents/CCDarkSens/python/ccdarkphys/qedark/data/Si_f2.txt
# table_sha1 = 55fa02eeb890e18aaef97ed5d40acd3c7a8b6b3d
# halo (cm/s): v0=22000000.0, vE=23200000.0, vesc=54400000.0
# mX (eV) = 370000000.0
# sigma_e (cm^2) = 2.511886431509572e-32
# Output units: dR/dE in events / kg / year / eV
# Columns: E (eV), dRdE (events/kg/year/eV)
E,dRdE
1.2,2744261.257
1.3,12635989.97
1.4,0
1.5,0
1.6,5067362.719
1.7,16993279.58
1.8,0
1.9,54207980.34
2,10834949.8
2.1,33255548.44
2.2,19302696.07
2.3,13956170.77
2.4,40944296.27
2.5,6652915.754
2.6,15525702.87
2.7,26569895.44
2.8,27250276.69
2.9,31019003.94
3,34334866.16
3.1,17717500.84
3.2,33355725.29
3.3,38590460.46
3.4,25864607.07
3.5,6283861.155
3.6,15302974.16
3.7,20971425.52
3.8,24874267.09
3.9,25988747.68
4,21148745.48
4.1,23924576.52
4.2,23464968.55
4.3,25145604.63
4.4,7453199.443
4.5,22815472.64
4.6,13644253.02
4.7,16683550.11
4.8,10324011.95
4.9,14574255.61
5,15635252.23
5.1,13990822.31
5.2,13891920.24
5.3,13727277.56
5.4,14600803.81
5.5,10033720.61
5.6,10150509.44
5.7,10725669.76
5.8,2617619.774
5.9,7922788.79
6,10034545.49
6.1,2666689.546
6.2,6414170.33
6.3,5673056.325
6.4,2819639.817
6.5,8888050.36
6.6,6071819.403
6.7,1705513.022
6.8,4831992.43
6.9,4578029.913
7,2158829.61
7.1,4205565.887
7.2,992626.4214
7.3,3784461.002
7.4,2401185.079
7.5,1570172.705
7.6,1653130.818
7.7,1464352.251
7.8,1249857.62
7.9,2281653.262
8,1524336.258
8.1,658677.4191
8.2,805223.7775
8.3,870874.3668
8.4,562082.8691
8.5,523342.4523
8.6,372934.7829
8.7,394321.8183
8.8,484255.7663
8.9,409399.5206
9,223060.3453
9.1,318325.788
9.2,314997.0373
9.3,280043.7617
9.4,256179.6131
9.5,226190.743
9.6,108986.0586
9.7,232718.2422
9.8,205802.4597
9.9,147460.718
10,118478.4766
10.1,124849.2953
10.2,131970.7254
10.3,118440.8269
10.4,91027.28983
10.5,94117.71207
10.6,136507.9967
10.7,44600.08248
10.8,77547.32708
10.9,64822.87508
11,58630.09488
11.1,53336.40289
11.2,63275.36239
11.3,37646.43743
11.4,48596.71078
11.5,67529.29863
11.6,49116.38608
11.7,59937.04647
11.8,29225.27882
11.9,50003.46497
12,28744.84723
12.1,24182.21111
12.2,20679.89178
12.3,35190.27714
12.4,17518.18033
12.5,15494.663
12.6,21622.76617
12.7,7259.667855
12.8,12259.38126
12.9,14848.12499
13,8583.647387
13.1,14322.28327
13.2,12448.77274
13.3,8603.057996
13.4,15472.16557
13.5,8640.13563
13.6,8639.67876
13.7,3513.005615
13.8,9496.787443
13.9,4520.581084
14,6217.340134
14.1,10123.04214
14.2,5722.966051
14.3,3982.064191
14.4,4142.867457
14.5,6031.655719
14.6,2182.249034
14.7,4334.748406
14.8,2693.419712
14.9,3229.357435
15,3766.257461
15.1,2581.74159
15.2,1520.920711
15.3,2627.427307
15.4,2462.85145
15.5,2178.467952
15.6,3469.783195
15.7,1042.448434
15.8,2243.279286
15.9,2575.146153
16,1421.865966
16.1,1439.978126
16.2,1773.026378
16.3,1564.934739
16.4,1242.169135
16.5,1032.238048
16.6,1422.379313
16.7,899.8781609
16.8,1062.66809
16.9,641.115025
17,790.4916904
17.1,1052.225055
17.2,588.6819386
17.3,547.1396717
17.4,620.6781393
17.5,685.4152733
17.6,574.7940052
17.7,530.745614
17.8,420.3778617
17.9,495.1687035
18,253.9934912
18.1,553.2165255
18.2,258.3154071
18.3,337.248868
18.4,250.8381704
18.5,271.2695412
18.6,226.7071231
18.7,158.0989136
18.8,140.7728755
18.9,333.595589
19,147.8693812
19.1,57.42279908
19.2,106.3508367
19.3,114.1160863
19.4,172.6266275
19.5,194.1917471
19.6,91.98470044
19.7,63.9187197
19.8,144.0450036
19.9,115.5822176
20,76.1297711
20.1,98.22742507
20.2,114.5886049
20.3,104.2250681
20.4,60.62644743
20.5,56.94483033
20.6,73.0134005
20.7,76.38346534
20.8,99.81242065
20.9,50.72432084
21,88.38804936
21.1,59.20394987
21.2,68.67624794
21.3,64.26074252
21.4,43.19805489
21.5,29.79235205
21.6,67.70872751
21.7,50.14212891
21.8,41.18055776
21.9,59.47383698
22,33.66196261
22.1,44.52445964
22.2,58.91452639
22.3,18.48303309
22.4,26.82218056
22.5,33.47787159
22.6,20.45539553
22.7,33.2378749
22.8,34.99791723
22.9,31.89613771
23,27.95264252
23.1,27.03106888
23.2,22.59160136
23.3,12.10563926
23.4,16.45066157
23.5,16.87783768
23.6,13.81348381
23.7,10.65284845
23.8,9.822753081
23.9,11.7404923
24,10.3497818
24.1,9.006953314
24.2,7.582390325
24.3,4.50021093
24.4,5.752823391
24.5,7.032099053
24.6,5.450759781
24.7,6.350157597
24.8,5.84873355
24.9,5.803245538
25,4.144963627
25.1,5.478032305
25.2,4.05513629
25.3,1.563593401
25.4,3.446765232
25.5,3.473066639
25.6,2.605572325
25.7,2.55525108
25.8,1.800853311
25.9,2.142411
26,2.251576534
26.1,2.243479272
26.2,1.88653054
26.3,2.115131711
26.4,1.70746395
26.5,0.8155660008
26.6,2.129767422
26.7,1.700778267
26.8,1.552978283
26.9,2.078241129
27,0.5822567042
27.1,0.9385408401
27.2,1.539362019
27.3,0.8356956974
27.4,0.871537643
27.5,0.9004346191
27.6,0.7322587371
27.7,0.6572440109
27.8,0.8439955497
27.9,0.556723681
28,0.5212647617
28.1,0.373236047
28.2,0.5317755384
28.3,0.4809095894
28.4,0.3753768349
28.5,0.2141010848
28.6,0.3959293097
28.7,0.5004666219
28.8,0.2900327741
28.9,0.3187642018
29,0.1677459322
29.1,0.2403848778
29.2,0.2022833118
29.3,0.2003068039
29.4,0.1484439274
29.5,0.1707694174
29.6,0.1751999991
29.7,0.1996427224
29.8,0.08955515635
29.9,0.1021830145
30,0.1036416049
30.1,0.1235353882
30.2,0.1098629738
30.3,0.04421298542
30.4,0.05684575869
30.5,0.05707388304
30.6,0.07086620734
30.7,0.05997587576
30.8,0.04386210862
30.9,0.02927917516
31,0.05488636708
31.1,0.03980200456
31.2,0.02944569949
31.3,0.03861888815
31.4,0.01947428817
31.5,0.03168789282
31.6,0.02823881515
31.7,0.01664631036
31.8,0.01483638424
31.9,0.01975301749
32,0.01403450351
32.1,0.01851031836
32.2,0.02485910412
32.3,0.01466557512
32.4,0.01139918865
32.5,0.01230349934
32.6,0.009183698675
32.7,0.01039061679
32.8,0.007343796369
32.9,0.005590693036
33,0.007263813625
33.1,0.005284335596
33.2,0.005702061274
33.3,0.008380423764
33.4,0.003858132273
33.5,0.005558694593
33.6,0.005596367642
33.7,0.002133201385
33.8,0.003742929018
33.9,0.001420433048
34,0.002462644683
34.1,0.003227754796
34.2,0.001695651414
34.3,0.001686073047
34.4,0.002473541377
34.5,0.001819739263
34.6,0.001532827442
34.7,0.001384466937
34.8,0.000716573717
34.9,0.001233026305
35,0.0008104844653
35.1,0.0008526241241
35.2,0.0003785188482
35.3,0.0007756103579
35.4,0.0005533913664
35.5,0.00079252538
35.6,0.0005644371233
35.7,0.0005075420401
35.8,0.0005217320677
35.9,0.0003887063892
36,0.0002636484343
36.1,0.000358451241
36.2,0.0001414289786
36.3,0.0002682745405
36.4,0.0001758253971
36.5,0.000223007713
36.6,0.000155767686
36.7,0.0001568352796
36.8,0.000126525139
36.9,0.0001267553508
37,0.000105435999
37.1,7.090633119e-05
37.2,6.55308449e-05
37.3,5.613169319e-05
37.4,7.604569484e-05
37.5,4.451513102e-05
37.6,5.764725104e-05
37.7,3.331537911e-05
37.8,1.758730902e-05
37.9,4.148358332e-05
38,2.499176991e-05
38.1,1.472227071e-05
38.2,1.571454948e-05
38.3,1.976212682e-05
38.4,1.464856389e-05
38.5,1.709484206e-05
38.6,9.30456113e-06
38.7,6.156875054e-06
38.8,8.926613809e-06
38.9,7.651138494e-06
39,1.860225312e-06
39.1,4.940523954e-06
39.2,2.733387741e-06
39.3,4.25538305e-06
39.4,2.772765078e-06
39.5,1.462115755e-06
39.6,2.39900683e-06
39.7,1.88466807e-06
39.8,1.830700112e-06
39.9,1.008652914e-06
40,8.242762224e-07
40.1,7.59726351e-07
40.2,1.302503334e-06
40.3,7.548365098e-07
40.4,6.036803815e-07
40.5,4.706684536e-07
40.6,2.698759749e-07
40.7,3.414965391e-07
40.8,7.107595657e-08
40.9,2.166385897e-07
41,3.250750489e-07
41.1,1.187475085e-07
41.2,3.416141732e-07
41.3,1.157052097e-07
41.4,4.208004686e-08
41.5,1.198056827e-07
41.6,1.365999433e-07
41.7,8.939885338e-08
41.8,3.551069666e-08
41.9,3.093296849e-08
42,6.19097981e-08
42.1,1.172574608e-08
42.2,2.580198899e-08
42.3,1.175056724e-08
42.4,2.052152452e-08
42.5,8.305045133e-09
42.6,1.061395269e-08
42.7,1.527352399e-08
42.8,8.008354049e-09
42.9,4.997122856e-09
43,4.888988811e-09
43.1,2.601433543e-09
43.2,2.706190972e-09
43.3,1.390774639e-09
43.4,2.774736876e-09
43.5,1.717973217e-09
43.6,2.432828461e-09
43.7,1.033946748e-09
43.8,3.214957983e-10
43.9,5.348668303e-10
44,4.71864235e-10
44.1,1.171226154e-10
44.2,4.161872656e-11
44.3,4.656925757e-10
44.4,9.578696457e-11
44.5,1.245561427e-10
44.6,3.262233498e-11
44.7,1.389682225e-11
44.8,2.178787917e-11
44.9,3.841868441e-11
45,1.941645475e-11
45.1,4.666040434e-12
45.2,2.600686801e-13
45.3,8.69417503e-13
45.4,0
45.5,0
45.6,0
45.7,0
45.8,0
45.9,0
46,0
46.1,0
46.2,0
46.3,0
46.4,0
46.5,0
46.6,0
46.7,0
46.8,0
46.9,0
47,0
47.1,0
47.2,0
47.3,0
47.4,0
47.5,0
47.6,0
47.7,0
47.8,0
47.9,0
48,0
48.1,0
48.2,0
48.3,0
48.4,0
48.5,0
48.6,0
48.7,0
48.8,0
48.9,0
49,0
49.1,0
49.2,0
49.3,0
49.4,0
49.5,0
49.6,0
49.7,0
49.8,0
49.9,0
50,0
50.1,0
50.2,0
50.3,0
50.4,0
50.5,0
50.6,0
50.7,0
50.8,0
50.9,0
51,0
51.1,0
